method,age,date,population
Campling 2019,18-34,2019-10-02,233406
Campling 2019,18-34,2019-10-03,233405
Campling 2019,18-34,2019-10-04,233404
Campling 2019,18-34,2019-10-05,233403
Campling 2019,18-34,2019-10-06,233402
Campling 2019,18-34,2019-10-07,233401
Campling 2019,18-34,2019-10-08,233400
Campling 2019,18-34,2019-10-09,233399
Campling 2019,18-34,2019-10-10,233398
Campling 2019,18-34,2019-10-11,233397
Campling 2019,18-34,2019-10-12,233396
Campling 2019,18-34,2019-10-13,233395
Campling 2019,18-34,2019-10-14,233394
Campling 2019,18-34,2019-10-15,233393
Campling 2019,18-34,2019-10-16,233393
Campling 2019,18-34,2019-10-17,233392
Campling 2019,18-34,2019-10-18,233391
Campling 2019,18-34,2019-10-19,233390
Campling 2019,18-34,2019-10-20,233390
Campling 2019,18-34,2019-10-21,233389
Campling 2019,18-34,2019-10-22,233388
Campling 2019,18-34,2019-10-23,233387
Campling 2019,18-34,2019-10-24,233387
Campling 2019,18-34,2019-10-25,233386
Campling 2019,18-34,2019-10-26,233386
Campling 2019,18-34,2019-10-27,233385
Campling 2019,18-34,2019-10-28,233384
Campling 2019,18-34,2019-10-29,233384
Campling 2019,18-34,2019-10-30,233383
Campling 2019,18-34,2019-10-31,233383
Campling 2019,18-34,2019-11-01,233382
Campling 2019,18-34,2019-11-02,233382
Campling 2019,18-34,2019-11-03,233381
Campling 2019,18-34,2019-11-04,233381
Campling 2019,18-34,2019-11-05,233380
Campling 2019,18-34,2019-11-06,233380
Campling 2019,18-34,2019-11-07,233379
Campling 2019,18-34,2019-11-08,233379
Campling 2019,18-34,2019-11-09,233379
Campling 2019,18-34,2019-11-10,233378
Campling 2019,18-34,2019-11-11,233378
Campling 2019,18-34,2019-11-12,233377
Campling 2019,18-34,2019-11-13,233377
Campling 2019,18-34,2019-11-14,233377
Campling 2019,18-34,2019-11-15,233376
Campling 2019,18-34,2019-11-16,233376
Campling 2019,18-34,2019-11-17,233376
Campling 2019,18-34,2019-11-18,233375
Campling 2019,18-34,2019-11-19,233375
Campling 2019,18-34,2019-11-20,233375
Campling 2019,18-34,2019-11-21,233374
Campling 2019,18-34,2019-11-22,233374
Campling 2019,18-34,2019-11-23,233374
Campling 2019,18-34,2019-11-24,233374
Campling 2019,18-34,2019-11-25,233373
Campling 2019,18-34,2019-11-26,233373
Campling 2019,18-34,2019-11-27,233373
Campling 2019,18-34,2019-11-28,233373
Campling 2019,18-34,2019-11-29,233372
Campling 2019,18-34,2019-11-30,233372
Campling 2019,18-34,2019-12-01,233372
Campling 2019,18-34,2019-12-02,233372
Campling 2019,18-34,2019-12-03,233372
Campling 2019,18-34,2019-12-04,233371
Campling 2019,18-34,2019-12-05,233371
Campling 2019,18-34,2019-12-06,233371
Campling 2019,18-34,2019-12-07,233371
Campling 2019,18-34,2019-12-08,233370
Campling 2019,18-34,2019-12-09,233370
Campling 2019,18-34,2019-12-10,233370
Campling 2019,18-34,2019-12-11,233370
Campling 2019,18-34,2019-12-12,233370
Campling 2019,18-34,2019-12-13,233369
Campling 2019,18-34,2019-12-14,233369
Campling 2019,18-34,2019-12-15,233369
Campling 2019,18-34,2019-12-16,233369
Campling 2019,18-34,2019-12-17,233369
Campling 2019,18-34,2019-12-18,233368
Campling 2019,18-34,2019-12-19,233368
Campling 2019,18-34,2019-12-20,233368
Campling 2019,18-34,2019-12-21,233368
Campling 2019,18-34,2019-12-22,233367
Campling 2019,18-34,2019-12-23,233367
Campling 2019,18-34,2019-12-24,233367
Campling 2019,18-34,2019-12-25,233367
Campling 2019,18-34,2019-12-26,233366
Campling 2019,18-34,2019-12-27,233366
Campling 2019,18-34,2019-12-28,233366
Campling 2019,18-34,2019-12-29,233366
Campling 2019,18-34,2019-12-30,233365
Campling 2019,18-34,2019-12-31,233365
Campling 2019,18-34,2020-01-01,233365
Campling 2019,18-34,2020-01-02,233364
Campling 2019,18-34,2020-01-03,233364
Campling 2019,18-34,2020-01-04,233364
Campling 2019,18-34,2020-01-05,233364
Campling 2019,18-34,2020-01-06,233363
Campling 2019,18-34,2020-01-07,233363
Campling 2019,18-34,2020-01-08,233363
Campling 2019,18-34,2020-01-09,233363
Campling 2019,18-34,2020-01-10,233362
Campling 2019,18-34,2020-01-11,233362
Campling 2019,18-34,2020-01-12,233362
Campling 2019,18-34,2020-01-13,233362
Campling 2019,18-34,2020-01-14,233361
Campling 2019,18-34,2020-01-15,233361
Campling 2019,18-34,2020-01-16,233361
Campling 2019,18-34,2020-01-17,233361
