method,age,date,population
Campling 2019,18-34,2020-01-18,233361
Campling 2019,18-34,2020-01-19,233361
Campling 2019,18-34,2020-01-20,233360
Campling 2019,18-34,2020-01-21,233360
Campling 2019,18-34,2020-01-22,233360
Campling 2019,18-34,2020-01-23,233360
Campling 2019,18-34,2020-01-24,233360
Campling 2019,18-34,2020-01-25,233360
Campling 2019,18-34,2020-01-26,233360
Campling 2019,18-34,2020-01-27,233360
Campling 2019,18-34,2020-01-28,233360
Campling 2019,18-34,2020-01-29,233360
Campling 2019,18-34,2020-01-30,233360
Campling 2019,18-34,2020-01-31,233360
Campling 2019,18-34,2020-02-01,233360
Campling 2019,18-34,2020-02-02,233360
Campling 2019,18-34,2020-02-03,233360
Campling 2019,18-34,2020-02-04,233360
Campling 2019,18-34,2020-02-05,233360
Campling 2019,18-34,2020-02-06,233360
Campling 2019,18-34,2020-02-07,233360
Campling 2019,18-34,2020-02-08,233360
Campling 2019,18-34,2020-02-09,233360
Campling 2019,18-34,2020-02-10,233360
Campling 2019,18-34,2020-02-11,233360
Campling 2019,18-34,2020-02-12,233360
Campling 2019,18-34,2020-02-13,233361
Campling 2019,18-34,2020-02-14,233361
Campling 2019,18-34,2020-02-15,233361
Campling 2019,18-34,2020-02-16,233361
Campling 2019,18-34,2020-02-17,233361
Campling 2019,18-34,2020-02-18,233362
Campling 2019,18-34,2020-02-19,233362
Campling 2019,18-34,2020-02-20,233362
Campling 2019,18-34,2020-02-21,233362
Campling 2019,18-34,2020-02-22,233363
Campling 2019,18-34,2020-02-23,233363
Campling 2019,18-34,2020-02-24,233363
Campling 2019,18-34,2020-02-25,233364
Campling 2019,18-34,2020-02-26,233364
Campling 2019,18-34,2020-02-27,233364
Campling 2019,18-34,2020-02-28,233365
Campling 2019,18-34,2020-02-29,233365
Campling 2019,18-34,2020-03-01,233366
Campling 2019,18-34,2020-03-02,233366
Campling 2019,18-34,2020-03-03,233366
Campling 2019,18-34,2020-03-04,233367
Campling 2019,18-34,2020-03-05,233367
Campling 2019,18-34,2020-03-06,233368
Campling 2019,18-34,2020-03-07,233368
Campling 2019,18-34,2020-03-08,233369
Campling 2019,18-34,2020-03-09,233370
Campling 2019,18-34,2020-03-10,233370
Campling 2019,18-34,2020-03-11,233371
Campling 2019,18-34,2020-03-12,233371
Campling 2019,18-34,2020-03-13,233372
Campling 2019,18-34,2020-03-14,233373
Campling 2019,18-34,2020-03-15,233373
Campling 2019,18-34,2020-03-16,233374
Campling 2019,18-34,2020-03-17,233375
Campling 2019,18-34,2020-03-18,233375
Campling 2019,18-34,2020-03-19,233376
Campling 2019,18-34,2020-03-20,233377
Campling 2019,18-34,2020-03-21,233378
Campling 2019,18-34,2020-03-22,233378
Campling 2019,18-34,2020-03-23,233379
Campling 2019,18-34,2020-03-24,233380
Campling 2019,18-34,2020-03-25,233381
Campling 2019,18-34,2020-03-26,233382
Campling 2019,18-34,2020-03-27,233383
Campling 2019,18-34,2020-03-28,233384
Campling 2019,18-34,2020-03-29,233385
Campling 2019,18-34,2020-03-30,233386
Campling 2019,18-34,2020-03-31,233387
Campling 2019,18-34,2020-04-01,233388
Campling 2019,18-34,2020-04-02,233389
Campling 2019,18-34,2020-04-03,233390
Campling 2019,18-34,2020-04-04,233391
Campling 2019,18-34,2020-04-05,233392
Campling 2019,18-34,2020-04-06,233393
Campling 2019,18-34,2020-04-07,233394
Campling 2019,18-34,2020-04-08,233395
Campling 2019,18-34,2020-04-09,233396
Campling 2019,18-34,2020-04-10,233397
Campling 2019,18-34,2020-04-11,233398
Campling 2019,18-34,2020-04-12,233399
Campling 2019,18-34,2020-04-13,233400
Campling 2019,18-34,2020-04-14,233401
Campling 2019,18-34,2020-04-15,233402
Campling 2019,18-34,2020-04-16,233403
Campling 2019,18-34,2020-04-17,233404
Campling 2019,18-34,2020-04-18,233405
Campling 2019,18-34,2020-04-19,233406
Campling 2019,18-34,2020-04-20,233407
Campling 2019,18-34,2020-04-21,233408
Campling 2019,18-34,2020-04-22,233409
Campling 2019,18-34,2020-04-23,233410
Campling 2019,18-34,2020-04-24,233411
Campling 2019,18-34,2020-04-25,233412
Campling 2019,18-34,2020-04-26,233413
Campling 2019,18-34,2020-04-27,233414
Campling 2019,18-34,2020-04-28,233415
Campling 2019,18-34,2020-04-29,233416
Campling 2019,18-34,2020-04-30,233417
Campling 2019,18-34,2020-05-01,233418
Campling 2019,18-34,2020-05-02,233419
Campling 2019,18-34,2020-05-03,233420
Campling 2019,18-34,2020-05-04,233421
Campling 2019,18-34,2020-05-05,233422
Campling 2019,18-34,2020-05-06,233423
Campling 2019,18-34,2020-05-07,233424
Campling 2019,18-34,2020-05-08,233425
Campling 2019,18-34,2020-05-09,233427
Campling 2019,18-34,2020-05-10,233428
Campling 2019,18-34,2020-05-11,233429
Campling 2019,18-34,2020-05-12,233430
Campling 2019,18-34,2020-05-13,233431
Campling 2019,18-34,2020-05-14,233432
Campling 2019,18-34,2020-05-15,233433
Campling 2019,18-34,2020-05-16,233434
Campling 2019,18-34,2020-05-17,233435
Campling 2019,18-34,2020-05-18,233436
Campling 2019,18-34,2020-05-19,233438
Campling 2019,18-34,2020-05-20,233439
Campling 2019,18-34,2020-05-21,233440
Campling 2019,18-34,2020-05-22,233441
Campling 2019,18-34,2020-05-23,233442
Campling 2019,18-34,2020-05-24,233443
Campling 2019,18-34,2020-05-25,233445
Campling 2019,18-34,2020-05-26,233446
Campling 2019,18-34,2020-05-27,233447
Campling 2019,18-34,2020-05-28,233448
Campling 2019,18-34,2020-05-29,233450
Campling 2019,18-34,2020-05-30,233451
Campling 2019,18-34,2020-05-31,233452
Campling 2019,18-34,2020-06-01,233453
Campling 2019,18-34,2020-06-02,233455
Campling 2019,18-34,2020-06-03,233456
Campling 2019,18-34,2020-06-04,233457
Campling 2019,18-34,2020-06-05,233458
Campling 2019,18-34,2020-06-06,233460
Campling 2019,18-34,2020-06-07,233461
Campling 2019,18-34,2020-06-08,233462
Campling 2019,18-34,2020-06-09,233464
Campling 2019,18-34,2020-06-10,233465
Campling 2019,18-34,2020-06-11,233467
Campling 2019,18-34,2020-06-12,233468
Campling 2019,18-34,2020-06-13,233469
Campling 2019,18-34,2020-06-14,233471
Campling 2019,18-34,2020-06-15,233472
Campling 2019,18-34,2020-06-16,233474
Campling 2019,18-34,2020-06-17,233475
Campling 2019,18-34,2020-06-18,233477
Campling 2019,18-34,2020-06-19,233478
Campling 2019,18-34,2020-06-20,233480
Campling 2019,18-34,2020-06-21,233481
Campling 2019,18-34,2020-06-22,233483
Campling 2019,18-34,2020-06-23,233484
Campling 2019,18-34,2020-06-24,233486
Campling 2019,18-34,2020-06-25,233487
Campling 2019,18-34,2020-06-26,233489
Campling 2019,18-34,2020-06-27,233491
Campling 2019,18-34,2020-06-28,233492
Campling 2019,18-34,2020-06-29,233494
Campling 2019,18-34,2020-06-30,233496
Campling 2019,18-34,2020-07-01,233497
Campling 2019,18-34,2020-07-02,233499
Campling 2019,18-34,2020-07-03,233501
Campling 2019,18-34,2020-07-04,233503
Campling 2019,18-34,2020-07-05,233504
Campling 2019,18-34,2020-07-06,233506
Campling 2019,18-34,2020-07-07,233508
Campling 2019,18-34,2020-07-08,233510
Campling 2019,18-34,2020-07-09,233512
Campling 2019,18-34,2020-07-10,233514
Campling 2019,18-34,2020-07-11,233515
Campling 2019,18-34,2020-07-12,233517
Campling 2019,18-34,2020-07-13,233519
Campling 2019,18-34,2020-07-14,233521
Campling 2019,18-34,2020-07-15,233523
Campling 2019,18-34,2020-07-16,233525
Campling 2019,18-34,2020-07-17,233527
Campling 2019,18-34,2020-07-18,233529
Campling 2019,18-34,2020-07-19,233531
Campling 2019,18-34,2020-07-20,233533
Campling 2019,18-34,2020-07-21,233535
Campling 2019,18-34,2020-07-22,233538
Campling 2019,18-34,2020-07-23,233540
Campling 2019,18-34,2020-07-24,233542
Campling 2019,18-34,2020-07-25,233544
Campling 2019,18-34,2020-07-26,233546
Campling 2019,18-34,2020-07-27,233549
Campling 2019,18-34,2020-07-28,233551
Campling 2019,18-34,2020-07-29,233553
Campling 2019,18-34,2020-07-30,233555
Campling 2019,18-34,2020-07-31,233558
Campling 2019,18-34,2020-08-01,233560
Campling 2019,18-34,2020-08-02,233562
Campling 2019,18-34,2020-08-03,233565
Campling 2019,18-34,2020-08-04,233567
Campling 2019,18-34,2020-08-05,233570
Campling 2019,18-34,2020-08-06,233572
Campling 2019,18-34,2020-08-07,233575
Campling 2019,18-34,2020-08-08,233577
Campling 2019,18-34,2020-08-09,233580
Campling 2019,18-34,2020-08-10,233583
Campling 2019,18-34,2020-08-11,233585
Campling 2019,18-34,2020-08-12,233588
Campling 2019,18-34,2020-08-13,233590
Campling 2019,18-34,2020-08-14,233593
Campling 2019,18-34,2020-08-15,233596
Campling 2019,18-34,2020-08-16,233599
Campling 2019,18-34,2020-08-17,233601
Campling 2019,18-34,2020-08-18,233604
Campling 2019,18-34,2020-08-19,233607
Campling 2019,18-34,2020-08-20,233610
Campling 2019,18-34,2020-08-21,233613
Campling 2019,18-34,2020-08-22,233616
Campling 2019,18-34,2020-08-23,233619
Campling 2019,18-34,2020-08-24,233622
Campling 2019,18-34,2020-08-25,233625
Campling 2019,18-34,2020-08-26,233628
Campling 2019,18-34,2020-08-27,233631
Campling 2019,18-34,2020-08-28,233634
Campling 2019,18-34,2020-08-29,233637
Campling 2019,18-34,2020-08-30,233640
Campling 2019,18-34,2020-08-31,233644
Campling 2019,18-34,2020-09-01,233647
Campling 2019,18-34,2020-09-02,233650
Campling 2019,18-34,2020-09-03,233654
Campling 2019,18-34,2020-09-04,233657
Campling 2019,18-34,2020-09-05,233660
Campling 2019,18-34,2020-09-06,233664
Campling 2019,18-34,2020-09-07,233667
Campling 2019,18-34,2020-09-08,233671
Campling 2019,18-34,2020-09-09,233674
Campling 2019,18-34,2020-09-10,233678
Campling 2019,18-34,2020-09-11,233681
Campling 2019,18-34,2020-09-12,233685
Campling 2019,18-34,2020-09-13,233689
Campling 2019,18-34,2020-09-14,233692
Campling 2019,18-34,2020-09-15,233696
Campling 2019,18-34,2020-09-16,233700
Campling 2019,18-34,2020-09-17,233703
Campling 2019,18-34,2020-09-18,233707
Campling 2019,18-34,2020-09-19,233711
Campling 2019,18-34,2020-09-20,233715
Campling 2019,18-34,2020-09-21,233719
Campling 2019,18-34,2020-09-22,233723
Campling 2019,18-34,2020-09-23,233727
Campling 2019,18-34,2020-09-24,233731
Campling 2019,18-34,2020-09-25,233735
Campling 2019,18-34,2020-09-26,233739
Campling 2019,18-34,2020-09-27,233743
Campling 2019,18-34,2020-09-28,233748
Campling 2019,18-34,2020-09-29,233752
Campling 2019,18-34,2020-09-30,233756
Campling 2019,18-34,2020-10-01,233760
Campling 2019,18-34,2020-10-02,233765
Campling 2019,18-34,2020-10-03,233769
Campling 2019,18-34,2020-10-04,233773
Campling 2019,18-34,2020-10-05,233777
Campling 2019,18-34,2020-10-06,233781
Campling 2019,18-34,2020-10-07,233785
Campling 2019,18-34,2020-10-08,233789
Campling 2019,18-34,2020-10-09,233792
Campling 2019,18-34,2020-10-10,233796
Campling 2019,18-34,2020-10-11,233799
Campling 2019,18-34,2020-10-12,233803
Campling 2019,18-34,2020-10-13,233806
Campling 2019,18-34,2020-10-14,233809
Campling 2019,18-34,2020-10-15,233813
Campling 2019,18-34,2020-10-16,233816
Campling 2019,18-34,2020-10-17,233819
Campling 2019,18-34,2020-10-18,233822
Campling 2019,18-34,2020-10-19,233825
Campling 2019,18-34,2020-10-20,233827
Campling 2019,18-34,2020-10-21,233830
Campling 2019,18-34,2020-10-22,233833
Campling 2019,18-34,2020-10-23,233835
Campling 2019,18-34,2020-10-24,233838
Campling 2019,18-34,2020-10-25,233840
Campling 2019,18-34,2020-10-26,233843
Campling 2019,18-34,2020-10-27,233845
Campling 2019,18-34,2020-10-28,233848
Campling 2019,18-34,2020-10-29,233850
Campling 2019,18-34,2020-10-30,233852
Campling 2019,18-34,2020-10-31,233854
Campling 2019,18-34,2020-11-01,233856
Campling 2019,18-34,2020-11-02,233858
Campling 2019,18-34,2020-11-03,233860
Campling 2019,18-34,2020-11-04,233862
Campling 2019,18-34,2020-11-05,233864
Campling 2019,18-34,2020-11-06,233866
Campling 2019,18-34,2020-11-07,233868
Campling 2019,18-34,2020-11-08,233870
Campling 2019,18-34,2020-11-09,233871
Campling 2019,18-34,2020-11-10,233873
Campling 2019,18-34,2020-11-11,233875
Campling 2019,18-34,2020-11-12,233876
Campling 2019,18-34,2020-11-13,233878
Campling 2019,18-34,2020-11-14,233879
Campling 2019,18-34,2020-11-15,233881
Campling 2019,18-34,2020-11-16,233882
Campling 2019,18-34,2020-11-17,233884
Campling 2019,18-34,2020-11-18,233885
Campling 2019,18-34,2020-11-19,233886
Campling 2019,18-34,2020-11-20,233888
Campling 2019,18-34,2020-11-21,233889
Campling 2019,18-34,2020-11-22,233890
Campling 2019,18-34,2020-11-23,233891
Campling 2019,18-34,2020-11-24,233893
Campling 2019,18-34,2020-11-25,233894
Campling 2019,18-34,2020-11-26,233895
Campling 2019,18-34,2020-11-27,233896
Campling 2019,18-34,2020-11-28,233897
Campling 2019,18-34,2020-11-29,233899
Campling 2019,18-34,2020-11-30,233900
Campling 2019,18-34,2020-12-01,233901
Campling 2019,18-34,2020-12-02,233902
Campling 2019,18-34,2020-12-03,233903
Campling 2019,18-34,2020-12-04,233904
Campling 2019,18-34,2020-12-05,233905
Campling 2019,18-34,2020-12-06,233906
Campling 2019,18-34,2020-12-07,233907
Campling 2019,18-34,2020-12-08,233908
Campling 2019,18-34,2020-12-09,233909
Campling 2019,18-34,2020-12-10,233911
Campling 2019,18-34,2020-12-11,233912
Campling 2019,18-34,2020-12-12,233913
Campling 2019,18-34,2020-12-13,233914
Campling 2019,18-34,2020-12-14,233915
Campling 2019,18-34,2020-12-15,233916
Campling 2019,18-34,2020-12-16,233917
Campling 2019,18-34,2020-12-17,233918
Campling 2019,18-34,2020-12-18,233919
Campling 2019,18-34,2020-12-19,233920
Campling 2019,18-34,2020-12-20,233921
Campling 2019,18-34,2020-12-21,233923
Campling 2019,18-34,2020-12-22,233924
Campling 2019,18-34,2020-12-23,233925
Campling 2019,18-34,2020-12-24,233926
Campling 2019,18-34,2020-12-25,233927
Campling 2019,18-34,2020-12-26,233929
Campling 2019,18-34,2020-12-27,233930
Campling 2019,18-34,2020-12-28,233931
Campling 2019,18-34,2020-12-29,233933
Campling 2019,18-34,2020-12-30,233934
Campling 2019,18-34,2020-12-31,233935
Campling 2019,18-34,2021-01-01,233937
Campling 2019,18-34,2021-01-02,233938
Campling 2019,18-34,2021-01-03,233940
Campling 2019,18-34,2021-01-04,233941
Campling 2019,18-34,2021-01-05,233943
Campling 2019,18-34,2021-01-06,233944
Campling 2019,18-34,2021-01-07,233946
Campling 2019,18-34,2021-01-08,233947
Campling 2019,18-34,2021-01-09,233949
Campling 2019,18-34,2021-01-10,233951
Campling 2019,18-34,2021-01-11,233953
Campling 2019,18-34,2021-01-12,233954
Campling 2019,18-34,2021-01-13,233956
Campling 2019,18-34,2021-01-14,233958
Campling 2019,18-34,2021-01-15,233960
Campling 2019,18-34,2021-01-16,233962
Campling 2019,18-34,2021-01-17,233964
Campling 2019,18-34,2021-01-18,233966
Campling 2019,18-34,2021-01-19,233968
Campling 2019,18-34,2021-01-20,233971
Campling 2019,18-34,2021-01-21,233973
Campling 2019,18-34,2021-01-22,233975
Campling 2019,18-34,2021-01-23,233978
Campling 2019,18-34,2021-01-24,233980
Campling 2019,18-34,2021-01-25,233983
Campling 2019,18-34,2021-01-26,233985
Campling 2019,18-34,2021-01-27,233988
Campling 2019,18-34,2021-01-28,233991
Campling 2019,18-34,2021-01-29,233993
Campling 2019,18-34,2021-01-30,233996
Campling 2019,18-34,2021-01-31,233999
Campling 2019,18-34,2021-02-01,234002
Campling 2019,18-34,2021-02-02,234005
Campling 2019,18-34,2021-02-03,234008
Campling 2019,18-34,2021-02-04,234012
Campling 2019,18-34,2021-02-05,234015
Campling 2019,18-34,2021-02-06,234018
Campling 2019,18-34,2021-02-07,234022
Campling 2019,18-34,2021-02-08,234025
Campling 2019,18-34,2021-02-09,234029
Campling 2019,18-34,2021-02-10,234032
Campling 2019,18-34,2021-02-11,234036
Campling 2019,18-34,2021-02-12,234040
Campling 2019,18-34,2021-02-13,234044
Campling 2019,18-34,2021-02-14,234048
Campling 2019,18-34,2021-02-15,234052
Campling 2019,18-34,2021-02-16,234056
Campling 2019,18-34,2021-02-17,234061
Campling 2019,18-34,2021-02-18,234065
Campling 2019,18-34,2021-02-19,234070
Campling 2019,18-34,2021-02-20,234074
Campling 2019,18-34,2021-02-21,234079
Campling 2019,18-34,2021-02-22,234084
Campling 2019,18-34,2021-02-23,234089
Campling 2019,18-34,2021-02-24,234094
Campling 2019,18-34,2021-02-25,234099
Campling 2019,18-34,2021-02-26,234104
Campling 2019,18-34,2021-02-27,234110
Campling 2019,18-34,2021-02-28,234115
Campling 2019,18-34,2021-03-01,234121
Campling 2019,18-34,2021-03-02,234126
Campling 2019,18-34,2021-03-03,234132
Campling 2019,18-34,2021-03-04,234138
Campling 2019,18-34,2021-03-05,234144
Campling 2019,18-34,2021-03-06,234150
Campling 2019,18-34,2021-03-07,234156
Campling 2019,18-34,2021-03-08,234163
Campling 2019,18-34,2021-03-09,234169
Campling 2019,18-34,2021-03-10,234176
Campling 2019,18-34,2021-03-11,234182
Campling 2019,18-34,2021-03-12,234189
Campling 2019,18-34,2021-03-13,234196
Campling 2019,18-34,2021-03-14,234203
Campling 2019,18-34,2021-03-15,234211
Campling 2019,18-34,2021-03-16,234218
Campling 2019,18-34,2021-03-17,234225
Campling 2019,18-34,2021-03-18,234233
Campling 2019,18-34,2021-03-19,234241
Campling 2019,18-34,2021-03-20,234249
Campling 2019,18-34,2021-03-21,234257
Campling 2019,18-34,2021-03-22,234265
Campling 2019,18-34,2021-03-23,234273
Campling 2019,18-34,2021-03-24,234282
Campling 2019,18-34,2021-03-25,234290
Campling 2019,18-34,2021-03-26,234299
Campling 2019,18-34,2021-03-27,234308
Campling 2019,18-34,2021-03-28,234317
Campling 2019,18-34,2021-03-29,234326
Campling 2019,18-34,2021-03-30,234335
Campling 2019,18-34,2021-03-31,234345
Campling 2019,18-34,2021-04-01,234355
Campling 2019,18-34,2021-04-02,234364
Campling 2019,18-34,2021-04-03,234375
Campling 2019,18-34,2021-04-04,234385
Campling 2019,18-34,2021-04-05,234395
Campling 2019,18-34,2021-04-06,234406
Campling 2019,18-34,2021-04-07,234417
Campling 2019,18-34,2021-04-08,234428
Campling 2019,18-34,2021-04-09,234440
Campling 2019,18-34,2021-04-10,234452
Campling 2019,18-34,2021-04-11,234463
Campling 2019,18-34,2021-04-12,234476
Campling 2019,18-34,2021-04-13,234488
Campling 2019,18-34,2021-04-14,234500
Campling 2019,18-34,2021-04-15,234513
Campling 2019,18-34,2021-04-16,234526
Campling 2019,18-34,2021-04-17,234539
Campling 2019,18-34,2021-04-18,234553
Campling 2019,18-34,2021-04-19,234566
Campling 2019,18-34,2021-04-20,234580
Campling 2019,18-34,2021-04-21,234594
Campling 2019,18-34,2021-04-22,234608
Campling 2019,18-34,2021-04-23,234623
Campling 2019,18-34,2021-04-24,234637
Campling 2019,18-34,2021-04-25,234652
Campling 2019,18-34,2021-04-26,234667
Campling 2019,18-34,2021-04-27,234682
Campling 2019,18-34,2021-04-28,234697
Campling 2019,18-34,2021-04-29,234713
Campling 2019,18-34,2021-04-30,234728
Campling 2019,18-34,2021-05-01,234744
Campling 2019,18-34,2021-05-02,234760
Campling 2019,18-34,2021-05-03,234776
Campling 2019,18-34,2021-05-04,234792
Campling 2019,18-34,2021-05-05,234809
Campling 2019,18-34,2021-05-06,234826
Campling 2019,18-34,2021-05-07,234842
Campling 2019,18-34,2021-05-08,234859
Campling 2019,18-34,2021-05-09,234876
Campling 2019,18-34,2021-05-10,234894
Campling 2019,18-34,2021-05-11,234911
Campling 2019,18-34,2021-05-12,234929
Campling 2019,18-34,2021-05-13,234946
Campling 2019,18-34,2021-05-14,234964
Campling 2019,18-34,2021-05-15,234982
Campling 2019,18-34,2021-05-16,235000
Campling 2019,18-34,2021-05-17,235018
Campling 2019,18-34,2021-05-18,235037
Campling 2019,18-34,2021-05-19,235055
Campling 2019,18-34,2021-05-20,235074
Campling 2019,18-34,2021-05-21,235093
Campling 2019,18-34,2021-05-22,235111
Campling 2019,18-34,2021-05-23,235130
Campling 2019,18-34,2021-05-24,235149
Campling 2019,18-34,2021-05-25,235169
Campling 2019,18-34,2021-05-26,235188
Campling 2019,18-34,2021-05-27,235207
Campling 2019,18-34,2021-05-28,235227
Campling 2019,18-34,2021-05-29,235247
Campling 2019,18-34,2021-05-30,235266
Campling 2019,18-34,2021-05-31,235286
Campling 2019,18-34,2021-06-01,235306
Campling 2019,18-34,2021-06-02,235326
Campling 2019,18-34,2021-06-03,235346
Campling 2019,18-34,2021-06-04,235367
Campling 2019,18-34,2021-06-05,235387
Campling 2019,18-34,2021-06-06,235407
Campling 2019,18-34,2021-06-07,235428
Campling 2019,18-34,2021-06-08,235448
Campling 2019,18-34,2021-06-09,235469
Campling 2019,18-34,2021-06-10,235490
Campling 2019,18-34,2021-06-11,235511
Campling 2019,18-34,2021-06-12,235531
Campling 2019,18-34,2021-06-13,235552
Campling 2019,18-34,2021-06-14,235573
Campling 2019,18-34,2021-06-15,235595
Campling 2019,18-34,2021-06-16,235616
Campling 2019,18-34,2021-06-17,235637
Campling 2019,18-34,2021-06-18,235658
Campling 2019,18-34,2021-06-19,235679
Campling 2019,18-34,2021-06-20,235701
Campling 2019,18-34,2021-06-21,235722
Campling 2019,18-34,2021-06-22,235744
Campling 2019,18-34,2021-06-23,235765
Campling 2019,18-34,2021-06-24,235787
Campling 2019,18-34,2021-06-25,235808
Campling 2019,18-34,2021-06-26,235830
Campling 2019,18-34,2021-06-27,235852
Campling 2019,18-34,2021-06-28,235873
Campling 2019,18-34,2021-06-29,235895
Campling 2019,18-34,2021-06-30,235917
Campling 2019,18-34,2021-07-01,235938
Campling 2019,18-34,2021-07-02,235960
Campling 2019,18-34,2021-07-03,235982
Campling 2019,18-34,2021-07-04,236004
Campling 2019,18-34,2021-07-05,236026
Campling 2019,18-34,2021-07-06,236048
Campling 2019,18-34,2021-07-07,236070
Campling 2019,18-34,2021-07-08,236091
Campling 2019,18-34,2021-07-09,236113
Campling 2019,18-34,2021-07-10,236135
Campling 2019,18-34,2021-07-11,236157
Campling 2019,18-34,2021-07-12,236179
Campling 2019,18-34,2021-07-13,236201
Campling 2019,18-34,2021-07-14,236223
Campling 2019,18-34,2021-07-15,236245
Campling 2019,18-34,2021-07-16,236267
Campling 2019,18-34,2021-07-17,236288
Campling 2019,18-34,2021-07-18,236310
Campling 2019,18-34,2021-07-19,236332
Campling 2019,18-34,2021-07-20,236354
Campling 2019,18-34,2021-07-21,236376
Campling 2019,18-34,2021-07-22,236398
Campling 2019,18-34,2021-07-23,236419
Campling 2019,18-34,2021-07-24,236441
Campling 2019,18-34,2021-07-25,236463
Campling 2019,18-34,2021-07-26,236484
Campling 2019,18-34,2021-07-27,236506
